StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);GenericCounter1(P);GenericCounter1(C);GenericCounter2(P);GenericCounter2(C);GenericCounter3(P);GenericCounter3(C);GenericCounter4(P);GenericCounter4(C);GenericCounter5(P);GenericCounter5(C);
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:43:36:268	1372529616.268500;2013-06-29	23:44:36:268	1372529676.268500;00:01:00;37:10:00;25;25;25;0;0;1500;3345010;3345010;904;1498;3343257;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:022;00:00:36:061;00:00:00:146;00:00:36:041;00:00:36:022;00:00:36:059;00:00:00:146;00:00:36:055;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:44:36:268	1372529676.268500;2013-06-29	23:45:36:269	1372529736.269500;00:01:00;37:11:00;25;24.9996;25;0;0;1500;3346510;3346510;898;1506;3344763;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:040;00:00:36:061;00:00:00:151;00:00:36:047;00:00:36:040;00:00:36:059;00:00:00:151;00:00:36:039;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:45:36:269	1372529736.269500;2013-06-29	23:46:36:269	1372529796.269500;00:01:00;37:12:00;25;25;25;0;0;1500;3348010;3348010;904;1494;3346257;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:019;00:00:36:061;00:00:00:148;00:00:36:054;00:00:36:019;00:00:36:059;00:00:00:148;00:00:36:045;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:46:36:269	1372529796.269500;2013-06-29	23:47:36:269	1372529856.269500;00:01:00;37:13:00;25;25;25;0;0;1500;3349510;3349510;905;1499;3347756;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:064;00:00:36:061;00:00:00:168;00:00:36:061;00:00:36:064;00:00:36:059;00:00:00:168;00:00:36:052;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:47:36:271	1372529856.271500;2013-06-29	23:48:36:271	1372529916.271500;00:01:00;37:14:00;25;25;25;0;0;1500;3351010;3351010;902;1503;3349259;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:039;00:00:36:061;00:00:00:155;00:00:36:045;00:00:36:039;00:00:36:059;00:00:00:155;00:00:36:059;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:48:36:271	1372529916.271500;2013-06-29	23:49:36:271	1372529976.271500;00:01:00;37:15:00;25;25;25;0;0;1500;3352510;3352510;900;1502;3350761;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:025;00:00:36:061;00:00:00:146;00:00:36:051;00:00:36:025;00:00:36:059;00:00:00:146;00:00:36:043;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:49:36:271	1372529976.271500;2013-06-29	23:50:36:275	1372530036.275500;00:01:00;37:16:00;25;25.015;25;0;0;1501;3354011;3354011;900;1501;3352262;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:049;00:00:36:061;00:00:00:153;00:00:36:058;00:00:36:049;00:00:36:059;00:00:00:153;00:00:36:049;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:50:36:275	1372530036.275500;2013-06-29	23:51:36:275	1372530096.275500;00:01:00;37:17:00;25;25;25;0;0;1500;3355511;3355511;901;1499;3353761;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:039;00:00:36:061;00:00:00:154;00:00:36:042;00:00:36:039;00:00:36:059;00:00:00:154;00:00:36:056;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:51:36:275	1372530096.275500;2013-06-29	23:52:36:275	1372530156.275500;00:01:00;37:18:00;25;25;25;0;0;1500;3357011;3357011;903;1498;3355259;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:026;00:00:36:061;00:00:00:153;00:00:36:049;00:00:36:026;00:00:36:059;00:00:00:153;00:00:36:040;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:52:36:275	1372530156.275500;2013-06-29	23:53:36:275	1372530216.275500;00:01:00;37:19:00;25;25;25;0;0;1500;3358511;3358511;902;1501;3356760;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:021;00:00:36:061;00:00:00:143;00:00:36:055;00:00:36:021;00:00:36:059;00:00:00:143;00:00:36:046;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:53:36:275	1372530216.275500;2013-06-29	23:54:36:275	1372530276.275500;00:01:00;37:20:00;25;25;25;0;0;1500;3360011;3360011;901;1501;3358261;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:061;00:00:36:061;00:00:00:152;00:00:36:062;00:00:36:061;00:00:36:059;00:00:00:152;00:00:36:053;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:54:36:275	1372530276.275500;2013-06-29	23:55:36:277	1372530336.277500;00:01:00;37:21:00;25;24.9992;25;0;0;1500;3361511;3361511;900;1501;3359762;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:047;00:00:36:061;00:00:00:180;00:00:36:046;00:00:36:047;00:00:36:059;00:00:00:180;00:00:36:060;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:55:36:277	1372530336.277500;2013-06-29	23:56:36:277	1372530396.277500;00:01:00;37:22:00;25;25;25;0;0;1500;3363011;3363011;904;1496;3361258;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:040;00:00:36:061;00:00:00:147;00:00:36:052;00:00:36:040;00:00:36:059;00:00:00:147;00:00:36:043;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:56:36:277	1372530396.277500;2013-06-29	23:57:36:277	1372530456.277500;00:01:00;37:23:00;25;25;25;0;0;1500;3364511;3364511;901;1503;3362761;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:011;00:00:36:060;00:00:00:143;00:00:36:059;00:00:36:011;00:00:36:059;00:00:00:143;00:00:36:050;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:57:36:277	1372530456.277500;2013-06-29	23:58:36:277	1372530516.277500;00:01:00;37:24:00;25;25;25;0;0;1500;3366011;3366011;903;1498;3364259;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:031;00:00:36:060;00:00:00:146;00:00:36:043;00:00:36:031;00:00:36:059;00:00:00:146;00:00:36:057;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:58:36:277	1372530516.277500;2013-06-29	23:59:36:277	1372530576.277500;00:01:00;37:25:00;25;25;25;0;0;1500;3367511;3367511;901;1502;3365761;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:054;00:00:36:060;00:00:00:163;00:00:36:049;00:00:36:054;00:00:36:059;00:00:00:163;00:00:36:040;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-29	23:59:36:277	1372530576.277500;2013-06-30	00:00:36:277	1372530636.277500;00:01:00;37:26:00;25;25;25;0;0;1500;3369011;3369011;901;1500;3367261;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:066;00:00:36:060;00:00:00:162;00:00:36:056;00:00:36:066;00:00:36:059;00:00:00:162;00:00:36:047;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:00:36:279	1372530636.279500;2013-06-30	00:01:36:277	1372530696.277500;00:00:59;37:27:00;25;25.0008;25;0;0;1500;3370511;3370511;901;1500;3368761;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:056;00:00:36:060;00:00:00:153;00:00:36:062;00:00:36:056;00:00:36:059;00:00:00:153;00:00:36:053;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:01:36:277	1372530696.277500;2013-06-30	00:02:36:277	1372530756.277500;00:01:00;37:28:00;25;25;25;0;0;1500;3372011;3372011;902;1499;3370260;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:014;00:00:36:060;00:00:00:144;00:00:36:046;00:00:36:014;00:00:36:059;00:00:00:144;00:00:36:060;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:02:36:277	1372530756.277500;2013-06-30	00:03:36:277	1372530816.277500;00:01:00;37:29:00;25;25;25;0;0;1500;3373511;3373511;902;1500;3371760;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:062;00:00:36:060;00:00:00:162;00:00:36:053;00:00:36:062;00:00:36:059;00:00:00:162;00:00:36:044;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:03:36:277	1372530816.277500;2013-06-30	00:04:36:277	1372530876.277500;00:01:00;37:30:00;25;25;25;0;0;1500;3375011;3375011;900;1502;3373262;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:068;00:00:36:060;00:00:00:152;00:00:36:059;00:00:36:068;00:00:36:059;00:00:00:152;00:00:36:050;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:04:36:277	1372530876.277500;2013-06-30	00:05:36:283	1372530936.283500;00:01:00;37:31:00;25;24.9975;25;0;0;1500;3376511;3376511;903;1497;3374759;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:067;00:00:36:060;00:00:00:156;00:00:36:043;00:00:36:067;00:00:36:059;00:00:00:156;00:00:36:057;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:05:36:283	1372530936.283500;2013-06-30	00:06:36:283	1372530996.283500;00:01:00;37:32:00;25;25;25;0;0;1500;3378011;3378011;902;1501;3376260;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:044;00:00:36:060;00:00:00:148;00:00:36:049;00:00:36:044;00:00:36:059;00:00:00:148;00:00:36:041;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:06:36:283	1372530996.283500;2013-06-30	00:07:36:283	1372531056.283500;00:01:00;37:33:00;25;25;25;0;0;1500;3379511;3379511;902;1500;3377760;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:040;00:00:36:060;00:00:00:151;00:00:36:056;00:00:36:040;00:00:36:059;00:00:00:151;00:00:36:047;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:07:36:283	1372531056.283500;2013-06-30	00:08:36:287	1372531116.287500;00:01:00;37:34:00;25;24.9983;25;0;0;1500;3381011;3381011;903;1499;3379259;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:045;00:00:36:060;00:00:00:151;00:00:36:062;00:00:36:045;00:00:36:059;00:00:00:151;00:00:36:054;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:08:36:287	1372531116.287500;2013-06-30	00:09:36:287	1372531176.287500;00:01:00;37:35:00;25;25;25;0;0;1500;3382511;3382511;904;1499;3380758;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:035;00:00:36:060;00:00:00:141;00:00:36:046;00:00:36:035;00:00:36:059;00:00:00:141;00:00:36:060;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:09:36:287	1372531176.287500;2013-06-30	00:10:36:287	1372531236.287500;00:01:00;37:36:00;25;25;25;0;0;1500;3384011;3384011;902;1502;3382260;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:038;00:00:36:060;00:00:00:148;00:00:36:053;00:00:36:038;00:00:36:059;00:00:00:148;00:00:36:044;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:10:36:287	1372531236.287500;2013-06-30	00:11:36:287	1372531296.287500;00:01:00;37:37:00;25;25;25;0;0;1500;3385511;3385511;902;1500;3383760;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:049;00:00:36:060;00:00:00:152;00:00:36:059;00:00:36:049;00:00:36:059;00:00:00:152;00:00:36:050;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:11:36:287	1372531296.287500;2013-06-30	00:12:36:287	1372531356.287500;00:01:00;37:38:00;25;25;25;0;0;1500;3387011;3387011;901;1501;3385261;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:035;00:00:36:060;00:00:00:148;00:00:36:043;00:00:36:035;00:00:36:059;00:00:00:148;00:00:36:057;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:12:36:287	1372531356.287500;2013-06-30	00:13:36:287	1372531416.287500;00:01:00;37:39:00;25;25;25;0;0;1500;3388511;3388511;901;1500;3386761;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:024;00:00:36:060;00:00:00:155;00:00:36:049;00:00:36:024;00:00:36:059;00:00:00:155;00:00:36:041;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:13:36:287	1372531416.287500;2013-06-30	00:14:36:287	1372531476.287500;00:01:00;37:40:00;25;25;25;0;0;1500;3390011;3390011;901;1500;3388261;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:35:992;00:00:36:060;00:00:00:137;00:00:36:056;00:00:35:992;00:00:36:059;00:00:00:137;00:00:36:047;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:14:36:287	1372531476.287500;2013-06-30	00:15:36:287	1372531536.287500;00:01:00;37:41:00;25;25;25;0;0;1500;3391511;3391511;901;1500;3389761;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:053;00:00:36:060;00:00:00:152;00:00:36:062;00:00:36:053;00:00:36:059;00:00:00:152;00:00:36:053;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:15:36:289	1372531536.289500;2013-06-30	00:16:36:289	1372531596.289500;00:01:00;37:42:00;25;25;25;0;0;1500;3393011;3393011;905;1496;3391257;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:042;00:00:36:060;00:00:00:145;00:00:36:046;00:00:36:042;00:00:36:059;00:00:00:145;00:00:36:060;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:16:36:289	1372531596.289500;2013-06-30	00:17:36:291	1372531656.291500;00:01:00;37:43:00;25;24.9992;25;0;0;1500;3394511;3394511;899;1506;3392763;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:033;00:00:36:060;00:00:00:146;00:00:36:052;00:00:36:033;00:00:36:059;00:00:00:146;00:00:36:044;0;0;0;0;0;0;0;0;0;0;
2013-06-28	10:34:35:812	1372395875.812500;2013-06-30	00:17:36:291	1372531656.291500;2013-06-30	00:18:36:291	1372531716.291500;00:01:00;37:44:00;25;25;25;0;0;1500;3396011;3396011;905;1494;3394257;0;849;0;0;0;0;0;0;0;0;0;849;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;0;1181;0;3389;0;0;00:00:36:065;00:00:36:060;00:00:00:157;00:00:36:059;00:00:36:065;00:00:36:059;00:00:00:157;00:00:36:050;0;0;0;0;0;0;0;0;0;0;
